Value,year,month
0.22,1922,12
0.21,1923,1
-0.6,1923,2
-0.76,1923,3
-0.33,1923,4
-0.02,1923,5
-0.17,1923,6
0.3,1923,7
0.23,1923,8
0.11,1923,9
0.49,1923,10
0.17,1923,11
-0.52,1923,12
-0.66,1924,1
-0.37,1924,2
-0.4,1924,3
-1.07,1924,4
-0.5,1924,5
-0.05,1924,6
-0.83,1924,7
-1.32,1924,8
-1.28,1924,9
-1.57,1924,10
-0.9,1924,11
-0.43,1924,12
-0.95,1925,1
-0.79,1925,2
-0.81,1925,3
-0.73,1925,4
-0.45,1925,5
-0.43,1925,6
0.03,1925,7
-0.08,1925,8
0.32,1925,9
0.19,1925,10
0.11,1925,11
0.49,1925,12
1.12,1926,1
1.32,1926,2
1.35,1926,3
1.68,1926,4
1.95,1926,5
1.87,1926,6
1.8,1926,7
1.52,1926,8
1.33,1926,9
1.77,1926,10
2.19,1926,11
1.63,1926,12
0.95,1927,1
0.95,1927,2
0.57,1927,3
0.25,1927,4
-0.01,1927,5
-0.03,1927,6
-0.54,1927,7
-0.99,1927,8
-0.8,1927,9
-0.76,1927,10
-0.32,1927,11
-0.42,1927,12
0.22,1928,1
0.53,1928,2
0.66,1928,3
0.09,1928,4
0.36,1928,5
0.81,1928,6
-0.47,1928,7
-0.8,1928,8
-2.09,1928,9
-1.14,1928,10
0.19,1928,11
0.6,1928,12
0.65,1929,1
-0.03,1929,2
-0.15,1929,3
-0.06,1929,4
0.19,1929,5
1,1929,6
0.22,1929,7
-0.2,1929,8
0.63,1929,9
0.75,1929,10
0.57,1929,11
1.2,1929,12
0.74,1930,1
0.37,1930,2
-0.27,1930,3
-0.11,1930,4
-0.23,1930,5
0.26,1930,6
0.08,1930,7
-0.37,1930,8
-0.23,1930,9
-0.47,1930,10
-0.14,1930,11
0.63,1930,12
0.93,1931,1
0.89,1931,2
0.75,1931,3
1.23,1931,4
1.77,1931,5
1.74,1931,6
1.95,1931,7
0.36,1931,8
0.48,1931,9
0.01,1931,10
-0.41,1931,11
-0.73,1931,12
-1.36,1932,1
-1.77,1932,2
-1.07,1932,3
-0.05,1932,4
0.03,1932,5
-0.18,1932,6
-0.53,1932,7
-0.69,1932,8
-1.36,1932,9
-0.01,1932,10
-0.12,1932,11
-0.15,1932,12
-0.95,1933,1
-1.03,1933,2
-1.12,1933,3
-0.89,1933,4
-1.49,1933,5
-1.72,1933,6
-2.67,1933,7
-2.68,1933,8
-2.67,1933,9
-1.62,1933,10
-0.09,1933,11
-0.7,1933,12
-0.39,1934,1
0.07,1934,2
0.77,1934,3
1.22,1934,4
0.64,1934,5
-0.04,1934,6
0.2,1934,7
1.2,1934,8
0.95,1934,9
1.67,1934,10
1.65,1934,11
1.32,1934,12
0.72,1935,1
0.14,1935,2
-0.33,1935,3
-0.01,1935,4
0.68,1935,5
1.54,1935,6
0.61,1935,7
0.36,1935,8
0.17,1935,9
0.21,1935,10
0.36,1935,11
1.5,1935,12
1.73,1936,1
1.34,1936,2
1.06,1936,3
0.95,1936,4
1.46,1936,5
2.39,1936,6
2.7,1936,7
1.75,1936,8
0.88,1936,9
1.85,1936,10
2.52,1936,11
1.13,1936,12
-0.23,1937,1
-0.66,1937,2
-0.47,1937,3
-0.86,1937,4
-0.43,1937,5
1.31,1937,6
-0.41,1937,7
-1.02,1937,8
-0.47,1937,9
0.22,1937,10
0.36,1937,11
0.47,1937,12
0.97,1938,1
-0.18,1938,2
-0.85,1938,3
-0.25,1938,4
-0.68,1938,5
-0.39,1938,6
-0.43,1938,7
-0.75,1938,8
-0.18,1938,9
0.8,1938,10
-0.27,1938,11
0.87,1938,12
0.77,1939,1
-0.38,1939,2
-0.76,1939,3
-0.02,1939,4
-0.05,1939,5
0.21,1939,6
-0.93,1939,7
-1.06,1939,8
-1.34,1939,9
-1.42,1939,10
-0.76,1939,11
1.45,1939,12
1.61,1940,1
1.48,1940,2
1.69,1940,3
1.94,1940,4
1.65,1940,5
2.38,1940,6
